simple_postcode,price,xcoord,ycoord,crime_deprivation,health_deprivation,housing_services_deprivation,education_deprivation,living_environment_deprivation,outdoors_deprivation,geographic_barriers_deprivation,flood_areas_count,commute_hours,commute_distance_km,noise_decibels_mean,noise_decibels_var,lat,long
B34 ,164226.923076923,414938.643116159,288743.485376355,2.5,2.1,3.5,2.2,2.4,1.8,8.2,3,2.71561111111111,230.0858,62.1542091514283,30.4203436080302,52.496380728259,-1.78724314630717
B35 ,162556.904761905,414472.222706996,291232.354732028,4,1.25,2.5,1.25,5,2,6,3,2.72169444444444,230.2227,62.3948450781464,33.0433518521396,52.5191638414865,-1.78540229039323
B36 ,225415.973154362,415248.456835994,289596.564472569,3.52,3.92,4.84,2.84,5.12,4.64,6.52,3,2.71161111111111,229.9147,62.2296015180266,31.8620708156728,52.5019536572036,-1.78139247672253
B37 ,194654.47761194,417606.607553563,286807.114634312,2.71428571428571,2.52380952380952,3.85714285714286,1.9047619047619,7.90476190476191,7.33333333333333,5.23809523809524,5,2.65894444444445,223.603,62.0610295418362,35.5898699235787,52.4798571419581,-1.73940464191093
B38 ,232210.164835165,404541.51068001,278025.949301634,2.6,2.7,2.5,2.8,4.3,3.7,5.4,1,2.87691666666667,201.1716,62.2899575671853,28.3977810810182,52.3873823679747,-1.92056391819854
B4 6,218500,407156.834307557,287352.017160332,6,3,1,4,2,2,2,3,2.79533333333333,236.6637,62.2229284257459,26.8737423583623,52.4845769822424,-1.89289696812308
B42 ,197936.111111111,406009.251271083,292845.123730954,5.86956521739131,4.21739130434783,3.73913043478261,5.04347826086957,1.56521739130435,1.73913043478261,5.82608695652174,2,2.87497222222222,238.1414,62.1413294797688,27.3790074236641,52.5416904672897,-1.88906283260461
B43 ,219585.082872928,404842.259948976,294497.364507122,6,5.15789473684211,6.05263157894737,5.78947368421053,2.57894736842105,2.42105263157895,6.10526315789474,1,2.78455555555556,239.0961,62.2876834644791,27.589127789966,52.5517539972279,-1.92513614205378
B44 ,162376.273333333,407918.722921536,294227.599150884,4.0625,2.25,3.375,2.625,1.25,1.6875,6.9375,1,2.87144444444444,236.5752,62.1623356582927,27.8316701986846,52.5468287473165,-1.87996546989139
B45 ,289897.509803922,399472.42614317,277028.197979669,4.72222222222222,4.55555555555556,4.5,5.16666666666667,6.05555555555556,5.16666666666667,4.88888888888889,0,2.94655555555556,206.8618,62.3685480876346,35.1798388200641,52.378275612246,-2.01098230682834
B46 ,304472.55952381,420162.254311356,290028.032180708,5.9,7.2,4.4,6.2,2.7,2.6,2.9,3,2.67277777777778,225.977,61.8821930222021,40.2399683525714,52.5193563709531,-1.67868580029531
B47 ,360427.128571429,408345.751081493,276353.709826733,6.42857142857143,7.71428571428571,6.57142857142857,7.71428571428571,8,7.28571428571429,4.71428571428571,0,2.81272222222222,199.0644,62.5455955869678,32.8014120633185,52.3662508502909,-1.87947213475599
B48 ,438442.857142857,403383.059350913,272767.335960954,5.66666666666667,4.66666666666667,5,6.33333333333333,6,7.33333333333333,2.66666666666667,0,2.99002777777778,210.1388,62.2852497783033,35.3340431590589,52.3329971478886,-1.97967836400108
B49 ,410276.774647887,409200.118180834,257728.231725772,7.72727272727273,7.81818181818182,3.18181818181818,7.45454545454545,4.54545454545455,6.63636363636364,2.45454545454545,2,2.79641666666667,194.569,67.4479097544791,54.8623246452368,52.2188867682626,-1.87329884210807
B5 7,248864,406655.845608658,284835.260955862,6,3,2,5,1.5,1,6,3,2.89513888888889,240.5661,62.3274365454346,27.5945540458881,52.4573437423866,-1.90604450279067
B50 ,347380.181818182,409875.824579876,252153.820217842,7,7.66666666666667,3.66666666666667,6.33333333333333,4.33333333333333,7.66666666666667,2,1,2.93741666666667,203.2411,73.0434782608696,33.3314388557355,52.1449589076684,-1.83504016524396
B6 4,295000,407561.412060492,288627.003147448,4,2,1,1,2,1,9,3,2.78383333333333,235.6144,62.2201257861635,26.8750739839879,52.5011226734949,-1.89211325029127
B6 5,631785.714285714,407756.700964913,289277.231236424,6.25,2.5,2.25,1.75,1.5,1.5,8.25,2,2.84375,235.2147,62.1782599595339,29.1459353756203,52.5497844907863,-1.85736015867539
B6 6,146791.666666667,407482.416654033,289999.038906335,4.5,2,2,1.5,1.5,1,8.5,3,2.78955555555556,235.535,62.2161453273752,26.9436126338554,52.5089705906757,-1.88876489654945
B6 7,218222.941176471,408533.444536447,290389.840233546,5,3,3,3,1,1,8,3,2.79038888888889,235.6476,62.0744131335345,26.7449227133136,52.5154312758147,-1.87470860758681
B60 ,332028.495283019,396417.659578332,269664.738130481,6.3125,7.375,5.5,7.375,7.25,8.0625,3.5,0,2.99361111111111,212.4622,63.230940870212,46.0846673063982,52.3103107882894,-2.06383694916331
B61 ,300131.835443038,395639.366922048,272097.791477361,5.07692307692308,6.53846153846154,6.46153846153846,5.69230769230769,7.92307692307692,7.76923076923077,4.46153846153846,0,2.96597222222222,210.0336,62.7556325823224,41.9045495736953,52.3483672476434,-2.07015945789044
B62 ,295219.713375796,397924.733296841,284476.198800882,6.4,6.05,7.7,6.45,4.5,5.9,4.65,0,3.00002777777778,258.1712,62.4709496772186,29.3849875314593,52.4407060668118,-2.05614260258872
B63 ,210696.857142857,395267.972685432,283816.825500247,7.22727272727273,4.72727272727273,7.90909090909091,4.81818181818182,4.68181818181818,6.72727272727273,5.5,0,3.04991666666667,258.1313,62.4946221341636,28.6032546374776,52.4514137535497,-2.07620334621251
B64 ,190579.268292683,395326.095356293,286090.340508236,4.66666666666667,2.66666666666667,6.08333333333333,3,3.58333333333333,2.91666666666667,6.5,0,2.99783333333333,254.8177,62.3818478655218,28.3282113278847,52.4771133246213,-2.06867483854276
B65 ,169674.090909091,397149.06678306,287337.78226773,3.95,3,5.9,2.8,2.85,2.2,6.7,0,2.95963888888889,251.8725,62.4732274439168,29.3339038243036,52.4880753581874,-2.03832155692864
B66 ,171078.767123288,402517.83129123,288195.769610602,4.35714285714286,2.5,4.14285714285714,2.14285714285714,1.42857142857143,1.5,8.5,2,2.91591666666667,241.5149,62.4627890887527,28.7492453760233,52.4913719225999,-1.97363435008315
B67 ,175629.84496124,401546.702176325,287463.050050358,5.53333333333333,3.2,6.2,4,1.73333333333333,2,8,1,2.97733333333333,250.3911,62.3456848275501,27.501400173455,52.4830517142371,-1.98567568174438
B68 ,194805.42,399983.556363068,286725.559423871,4.5625,3.125,6.5625,4.125,1.75,1.6875,8.125,0,2.95558333333333,250.4146,62.3679700634525,28.0929777155589,52.4836110424981,-2.00131713261848
B69 ,186318.846153846,397864.568465,289426.864226364,5.36363636363636,3.09090909090909,5.54545454545455,3.54545454545455,2.81818181818182,2,6.45454545454545,0,2.96094444444444,251.6038,62.3983274647887,28.668294752252,52.508784629492,-2.0398780991307
B7 4,657500,408252.743381314,287863.834647998,3.33333333333333,1.66666666666667,1.33333333333333,1.66666666666667,2.33333333333333,1,8.33333333333333,3,2.79238888888889,234.8274,62.1866580504051,27.0667179867135,52.492358759428,-1.86755832660815
B7 5,447760.533333333,409065.729843409,288980.801252731,4,3,2,1,1,1,9,3,2.79725,234.5485,62.1005778456171,27.4976521765707,52.498734552039,-1.84682340099082
B70 ,188792.263157895,399828.570052269,291414.888148254,3.21052631578947,2.10526315789474,4.26315789473684,2.05263157894737,2,1.31578947368421,7.10526315789474,0,2.92811111111111,249.3219,62.3848545732874,28.1002174308904,52.5277994362705,-2.00413236514771
B71 ,185914.823529412,400795.460002524,293230.87963143,3.4,2.86666666666667,5.6,3.06666666666667,2.06666666666667,1.86666666666667,6.53333333333333,0,2.91433333333333,245.5899,62.3090274363261,27.2745617624375,52.5406398017696,-1.98817800476027
B72 ,365086.352941177,412176.208896401,294753.785338937,6.6,5.5,4.5,9.2,3.1,2.2,5.3,1,2.80277777777778,234.3368,62.2631804911558,31.93802935119,52.5494142778727,-1.81960447925731
B73 ,366095.945121951,410624.135803197,294698.346808583,6.88888888888889,5.66666666666667,5.22222222222222,8.88888888888889,3.33333333333333,2.55555555555556,5,0,2.88463888888889,237.1503,62.2237128082141,29.3664531005457,52.5592679131331,-1.85860482047871
B74 ,502784,409361.388736736,298539.278407736,9.09523809523809,7.14285714285714,5.47619047619048,8.90476190476191,6.42857142857143,4.66666666666667,4,0,2.88197222222222,240.2678,62.362804102738,29.6538825398679,52.5858467475711,-1.85818278563327
B75 ,377303,413102.146607143,297731.722381211,7.78571428571429,5.64285714285714,4.35714285714286,7.14285714285714,4.5,2.85714285714286,5.21428571428571,0,2.72683333333333,233.8855,62.5258086717137,34.7317470916924,52.5897017107998,-1.79534978555564
B76 ,602200.897435897,414589.619357552,293924.034793307,8.3,5.3,3.2,7.3,5.3,2.5,2.9,3,2.73555555555556,231.1788,62.4187604690117,34.381212242064,52.5408014031465,-1.78206640455
B77 ,225058.465875371,422625.313877965,302342.402303808,5.31707317073171,4.51219512195122,5.92682926829268,3.36585365853659,7.51219512195122,9.07317073170732,4.63414634146341,3,2.79252777777778,223.7641,62.8653366583541,42.9509186116545,52.6034338809994,-1.65841368648542
B78 ,249726.217105263,422274.233860182,301018.764353918,6.6875,6.125,5.75,4.3125,6.1875,6.5625,4,3,2.78916666666667,224.8214,63.1095169775227,44.1511581876303,52.6165446360558,-1.66490554068968
B79 ,288235.391304348,421317.42497049,305624.940026157,6.25,5.33333333333333,6.5,5.75,6.91666666666667,8.83333333333333,4.83333333333333,1,2.90166666666667,231.6819,62.2237136465324,33.9424521686868,52.6653561416194,-1.61946596103432
B8 1,136667.142857143,409874.970509011,288086.224685826,4.83333333333333,2.5,1.66666666666667,1,1.83333333333333,1.5,10,3,2.81116666666667,234.9174,62.1316480975405,27.1269890952678,52.4906557230203,-1.8535523136491
B8 2,166666.666666667,411650.329562731,288502.141819711,3.25,2.5,1.875,1,1.125,1.375,9.125,4,2.76119444444444,231.6807,62.1894275735512,28.4124930005113,52.493615078288,-1.83190376004545
B8 3,134760.416666667,410813.770066859,287813.02253343,4.4,2,1.6,1,1.2,1.4,9.4,4,2.77852777777778,232.3812,62.1923525977817,28.0717612347662,52.4855611881324,-1.83642960422252
B80 ,306947.727272727,407328.909700737,263871.026450276,6,4.875,5,4.625,7.875,8.375,3.625,1,2.89808333333333,205.1517,64.8008204193254,52.4231457014342,52.2909284652159,-1.9053861682091
B9 5,168695.384615385,410913.491566742,286756.09384474,6.25,2,1.75,1.25,1.5,1.5,9,4,2.802,233.6108,62.1903627063474,28.0097402858055,52.4785520310686,-1.83902752627489
B90 ,350332.574879227,411870.588520902,278016.420962295,7.1,7.13333333333333,6.03333333333333,7.73333333333333,6.96666666666667,8.5,4.86666666666667,2,2.78102777777778,235.8831,62.0479166666667,29.1788399430476,52.396109933673,-1.81961580921663
B91 ,493602.996350365,414797.939563914,279666.257612695,7.76,8.28,4.72,8.68,7.6,7.76,3.52,3,2.71641666666667,230.8677,62.1428833119619,31.6120467234646,52.413776871906,-1.7668056392612
B92 ,325051.328301887,415071.320736585,282337.365909343,5.71428571428571,6.85714285714286,5.57142857142857,6.14285714285714,4.85714285714286,6.64285714285714,4.92857142857143,3,2.72633333333333,228.5558,62.4482269503546,38.0935872356526,52.412821149802,-1.73398631998038
B93 ,556031.336898396,417439.44997201,275956.294521764,8.66666666666667,9.16666666666667,5.41666666666667,9.66666666666667,8.25,8.91666666666667,3.16666666666667,2,2.76663888888889,221.2872,63.0764540337711,43.9720966647092,52.3622421394928,-1.71952094317121
B94 ,621580.769230769,413771.535423991,272413.21454124,5,8.33333333333333,4.33333333333333,8.66666666666667,4,5.66666666666667,3.33333333333333,1,2.79944444444444,225.9648,62.5663357400722,38.4488707206363,52.3417013323384,-1.77695330855592
B95 ,508374.811320755,415008.955635506,265362.003849939,6.25,7.25,4.5,7.5,4.5,6.75,2.75,1,2.69397222222222,184.0201,64.4116607773852,45.5050097946406,52.2846333019235,-1.75584571548691
B96 ,430250,403076.89838908,261713.825605017,8.66666666666667,7,6,8,7,10,5,0,2.96580555555556,204.1635,64.9943820224719,51.090468701644,52.2599127700671,-1.96089006115782
B97 ,282303.351931331,403113.19776302,266674.840618395,5.95454545454545,4.31818181818182,4.09090909090909,5.04545454545455,8,9.59090909090909,4.40909090909091,0,2.92152777777778,209.9558,64.5761772853186,49.9422312923429,52.294119030121,-1.95564161897947
B98 ,278512.212927757,406025.659940126,266963.461333042,5.42307692307692,3.61538461538462,2.42307692307692,3.30769230769231,8.76923076923077,9.38461538461539,2.30769230769231,1,2.88836111111111,204.4634,64.6595269968764,51.4505442404539,52.298439257887,-1.90812298741948
BA1 ,569558.45625,374788.841259504,165977.587478325,6.4390243902439,7.80487804878049,7.09756097560976,8.19512195121951,6,8.80487804878049,5.78048780487805,0,2.81922222222222,200.5297,64.1908986834574,35.5865074658271,51.4122194999945,-2.3548342647043
BA10,459375,369026.511320883,134980.613317487,8,7.71428571428571,3.71428571428571,5.28571428571429,2.71428571428571,9.71428571428571,3.14285714285714,0,3.01691666666667,244.0874,65.9027149321267,50.323847487713,51.1119175115011,-2.48640391104526
BA11,371769.625514403,377596.477636738,148185.212778867,5.69230769230769,6.23076923076923,5.19230769230769,5.23076923076923,6.46153846153846,8.23076923076923,3.38461538461538,2,2.96088888888889,237.9666,69.0982142857143,46.6425810014728,51.2602855417334,-2.34364459133658
BA12,375694.339130435,387004.598825527,141917.217109757,7.21739130434783,7.47826086956522,3.65217391304348,6.34782608695652,5.34782608695652,6.91304347826087,2.78260869565217,1,2.75658333333333,215.8947,68.7953020134228,35.2588686481304,51.1549195411457,-2.12363080969644
BA13,273171.00591716,387144.054646933,151386.052551362,7.5,7.75,3.33333333333333,5.41666666666667,6.25,6.41666666666667,2.16666666666667,2,2.83197222222222,222.3587,64.8967530098504,42.6276573364189,51.2821483119158,-2.15213667366671
BA14,290365.080691643,385998.28335938,157843.141695998,5.84615384615385,7.19230769230769,5.53846153846154,5.15384615384615,7.23076923076923,7,4,2,2.81558333333333,196.1508,63.9388849177984,38.0073469148886,51.3373318939601,-2.15200777454523
BA15,433523.415929204,382229.278906303,161054.652364415,7.66666666666667,8.44444444444445,7,8.88888888888889,7.66666666666667,6.77777777777778,4.55555555555556,1,2.90066666666667,199.9033,64.0447549135686,34.7391144768677,51.3440354103067,-2.28483511846967
BA16,264274.358974359,347966.536041466,136374.144016202,6.36363636363636,5.54545454545455,6.54545454545455,5.18181818181818,6.63636363636364,9.36363636363636,4.81818181818182,0,3.41419444444444,273.195,65.8971583220568,50.50973446135,51.1345191055217,-2.77460209077323
BA2 ,502743.930585683,373619.306768041,162645.693201594,6.68571428571429,7.62857142857143,6.28571428571429,6.37142857142857,7.22857142857143,9.05714285714286,4.85714285714286,2,3.07233333333333,206.3057,63.6730670762929,35.439566365282,51.3453762169278,-2.40700227983895
BA20,267901.898734177,354830.328195324,115589.370049522,5.53333333333333,5.53333333333333,5.53333333333333,6.2,5.93333333333333,8.33333333333333,4.6,0,3.19252777777778,262.8332,66.0081967213115,52.9109618965042,50.9241676066678,-2.65175080568871
BA21,222816.988636364,355523.26016932,117116.696720089,5.21052631578947,5.31578947368421,6,4.10526315789474,5.57894736842105,8.1578947368421,5.15789473684211,0,3.11361111111111,258.9646,66.1835494327391,53.9237341333479,50.957221456197,-2.63960685893331
BA22,418016.666666667,355003.690132666,119180.777080615,8.15384615384615,7.46153846153846,3,7.23076923076923,2.38461538461538,7.84615384615385,2,0,3.13219444444444,258.7193,65.5711060948081,51.9659217660649,50.9552460734293,-2.61758016046789
BA3 ,316398.995555556,366805.329672067,152865.474441245,7.12,7.36,5.88,5.48,7.08,8.96,3.44,1,3.18827777777778,254.0201,64.4013326499231,39.7562854026206,51.2411656917733,-2.5185142992196
BA4 ,323377.923728814,362804.121227804,141670.616027939,6,5.85714285714286,6.71428571428571,4.28571428571429,8.28571428571429,9.71428571428571,4.57142857142857,0,3.10113888888889,249.0787,66.6870451237264,50.9587677865906,51.1696722396751,-2.53415681792148
BA5 ,370587.123287671,354174.020572253,146040.384576421,7.38461538461539,7.15384615384615,4.76923076923077,6.92307692307692,5.76923076923077,8.76923076923077,2.61538461538462,0,3.36711111111111,268.553,63.1850649350649,27.3738253616302,51.2374083113046,-2.71947839973743
BA6 ,347602.144329897,350472.831917003,138541.363588934,4,6,4.75,6.25,7.25,10,2.75,0,3.30316666666667,262.5558,63.1781609195402,31.4354258428898,51.1335218311736,-2.69990649372445
BA7 ,396145.588235294,363538.68381258,132353.614935815,9,7.5,7,5,7.5,10,5.5,0,3.01102777777778,247.3444,68.2962962962963,50.0394011032309,51.0925305230453,-2.51483465295431
BA8 ,278516.129032258,371405.077534819,121789.087295265,8.66666666666667,7.66666666666667,4.66666666666667,4.33333333333333,1.66666666666667,9.33333333333333,3.66666666666667,1,3.05611111111111,245.1099,62.5,32.0871559633028,50.9711001385743,-2.39890909099343
BA9 ,336114.615384615,371392.656472253,128753.571386574,6,7.5,4.5,4,9.5,10,2.5,0,2.86669444444444,238.4648,62.9493670886076,38.5834072401838,51.0460504745692,-2.40625463250323
BB1 ,174586.387900356,369631.210986194,429077.87339961,4.84313725490196,2.86274509803922,7.82352941176471,4.07843137254902,4,4.58823529411765,6.74509803921569,3,4.75541666666667,411.7597,62.9517260349333,31.8932676531309,53.7451302683278,-2.44801111781749
BB10,135733.66255144,385482.418796884,433729.155693966,3.90909090909091,2.33333333333333,8.27272727272727,3.72727272727273,3.39393939393939,4.6969696969697,6.48484848484848,5,4.9185,421.7516,62.506224826071,26.5016092942526,53.7920256911746,-2.20786867851873
BB11,104216.105555556,383318.448313304,431866.94783366,2.25,1.625,8.75,2.9375,3.125,4.5,7.125,4,4.82061111111111,417.5471,62.6131353337416,27.4489960172049,53.7756715939271,-2.26586301034932
BB12,164868.931407942,380919.156561902,433782.127585151,4.72727272727273,3.54545454545455,8.81818181818182,5.5,4.5,6.18181818181818,6.36363636363636,4,4.83258333333333,418.3579,63.2030411449016,33.214268795945,53.8186625511482,-2.29898424654927
BB18,174685.305343511,388780.663736219,446580.359064942,8.21428571428571,4.64285714285714,8.35714285714286,4.64285714285714,1.64285714285714,7.28571428571429,5.64285714285714,1,4.9995,404.7971,64.9757281553398,44.3713757240694,53.9115949458169,-2.16051379279287
BB2 ,156341.300341297,366967.797689947,427207.560485446,4.17647058823529,2.73529411764706,7.91176470588235,4.79411764705882,4.20588235294118,4.82352941176471,6,3,4.79705555555556,408.3739,63.1887985546522,37.1300515920471,53.7516344145987,-2.53463299873469
BB3 ,126233.255725191,369321.374902972,422588.14509801,3.27272727272727,2.45454545454545,8.40909090909091,4.40909090909091,3.5,4.81818181818182,6.54545454545455,3,4.77133333333333,398.8101,62.3926884729753,26.7220808919122,53.6882399442864,-2.45120702938384
BB4 ,205090.774410774,380641.232870845,423027.883328097,5.81481481481482,4.22222222222222,7.07407407407407,5.62962962962963,4,6.37037037037037,5,2,4.60958333333333,402.2295,62.4148845166809,25.5604543396019,53.695511757024,-2.30169078792271
